"CODI","DENOMINACIÓ GENÈRICA","NOM","CORREU ELECTRÒNIC 1","CORREU ELECTRÒNIC 2","PÀGINA WEB","TITULAR","NIF","LOCALITAT","MUNICIPI","ADREÇA","CP","ILLA","TELEF1"
"07016669","CEI","ESCOLETA PESSIGOLLES","escoleta pessigolles@gmail.com","","","ESCOLETA PESSIGOLLES S.C.","J57720021","PALMA","PALMA","C/ GUILLEM MASSOT, NÚM. 50","07003","MALLORCA","871574282"
"07016414","CEI","ESCOLETA PICAROL","elisarodriguezmiguel@hotmail.com","","","ELISA ABEL RODRIGUEZ MIGUEL","78212157J","PORT DE POLLENÇA","POLLENÇA","C/ VICENTE BUADES, 42, BAIXOS","07470","MALLORCA","667272340"
"07016657","CEI","ESCOLETA SANT PERE_CC Sant Pere","escoleta03@colegisantpere.org","","","FUNDACIÓN DIOCESANA RAMON LLULL","R0700747I","PALMA","PALMA","C/ BALTASAR VALENTÍ, NUM. 76","07008","MALLORCA","680813350"
"07016712","CEI","ESCOLETA SOMNIS","escoletasomnis@gmail.com","","","ANNABEL CABEZAS HURTADO","41574552M","SECAR DE LA REAL","PALMA","C/ NA BASTERA, NÚM. 19","07010","MALLORCA","697218951"
"07015057","CEI","ESTRELLETES","escoletapm@yahoo.es","","","Grupo Pekes Mallorca SL","B57509267","PALMA","PALMA","C/ D'ADRIÀ FERRÀN, 33","07007","MALLORCA","971271177"
"07014740","CEI","GIANNI RODARI","egrodari@gmail.com","","","Escoleta Gianni Rodari SDAD COOP","F07331143","PALMA","PALMA","C/ ARQUITECTE BENNÀSSAR, NÚM 46","07004","MALLORCA","971299086"
"07015240","CEI","HAPPY FACES","happyfaceskinder@gmail.com","","","HAPPY FACES KINDER BALEAR SL","B57511313","EL TERRENO","PALMA","C/ ROBERT GRAVES, 91","07015","MALLORCA","971287335"
"07014004","CEI","HOBBITON","hobbit@hobbiton.cat","","","CENTRE D'EDUCACIÓ INFANTIL HOBBITON SLU","B57398000","PALMA","PALMA","C/ DEL BISBE RAFAEL JOSEP VERGER,4 LOCALS 1-2","07010","MALLORCA","971909988"
"07013589","CEI","ITACA NOVA","info@itacanova.com","","http://www.itacanova.com","Itaca Son Espanyolet SL","B57288680","PALMA","PALMA","C/ DE SON ESPANYOLET, 3","07014","MALLORCA","971451788"
"07013061","CEI","KOALA","escoletakoala@gmail.com","","www.ceikoala.es","Valls Tunberg  SL","B57228496","PALMA","PALMA","C/ JOAN MAS, 3","07010","MALLORCA","971292401"
"07014867","CEI","KOALA POLÍGON","contacto@escoletakoala.es","","www.escoletakoala.es","JOLIVER ASSOCIATS CB","E16614067","PALMA","PALMA","C/ 16 DE JULIOL , 87 2N","07009","MALLORCA","971904057"
"07008090","CEI","LA CUNA","lacuna@nostrasenyoradegracia.com","","","HERMANAS DE LA CARIDAD DE SAN VICENTE DE PAUL","R0700009D","LLUCMAJOR","LLUCMAJOR","C/ FRANCESC MORAGUES, 11","07620","MALLORCA","971660574"
"07013711","CEI","LA VALL","escoletalavall@escoletalavall.com","","","Escuela Infantil la Vall, SLU","B16629867","SA CABANETA","MARRATXÍ","CAMÍ DE N'OLESA, 11","07141","MALLORCA","638725010"
"07016785","CEI","LITTLE RAINBOW","littlerainbow@herdiepab.com","","","HERDIEPAB ADVISORS, SL","B57918633","PALMA","PALMA","C/ DE SON BUSQUETS, NÚM. 4","07010","MALLORCA","971459193"
"07014946","CEI","LLUNA DE PAPER","ceipopeye@ceipopeye.es","","","Escuela Infantil Popeye SL","B07719776","PALMA","PALMA","C/ DE L'AMETLER, 16","07008","MALLORCA","971470849"
"07013701","CEI","MAFALDA_Sant Josep_Eivissa","info@cepmafalda.com","","","Rosario Doradol López","41452617Q","SANT JORDI DE SES SALINES","SANT JOSEP DE SA TALAIA","C/ DE LES BEGÒNIES, 28","07817","EIVISSA","971307183"
"07013012","CEI","MAMÁ OSA","info@mamaosa.es","","","PROYECTOS JOSINGA SL","B07792633","PALMA","PALMA","C/ SON CALBET, 7","07013","MALLORCA","971733837"
"07014636","CEI","MENUDALL","menudall@outlook.es","","","ESCOLETA MENUDALL CB","E57598559","BINISSALEM","BINISSALEM","C/ D'ANTONI TORRANDELL, 28 BX. A","07350","MALLORCA","971511459"
"07013759","CEI","MÓN PETIT","carolmonpetit5@gmail.com","","","Carolina Manzano Serra","43130836V","PORT D'ALCÚDIA","ALCÚDIA","C/ DELS PINS, 17 BXS","07410","MALLORCA","971547854"
"07014545","CEI","MÓN PETITO","escoletamonpetito@hotmail.com","","","Maria Dolores Galán Rodríguez","43086684W","PALMA","PALMA","PÇA MIQUEL RIERA PERELLÓ, NÚM. 11","07009","MALLORCA","871962067"
"07014120","CEI","MONDAURA","escoletamondaura@hotmail.com","","","Escoleta Muntadora CB","E57151466","L'HORTA","SÓLLER","CAMÍ DE SA FIGUERA,NÚM.68","07100","MALLORCA","971633605"
"07016670","CEI","NANAI","nanaieducatiu@gmail.com","proyectoseducativoswabisabi@gmail.com","","PROYECTOS EDUCATIVOS WABI SABI, S.L.","B16585366","SECAR DE LA REAL","PALMA","C/ JOAN MASCARÓ I FORNÉS, NÚM. 84 BAIXOS","07010","MALLORCA","678901086"
"07015938","CEI","PARROQUIA DE SANT JOSEP","escoletasantjosep@gmail.com","josepibiza@msn.com","","Parròquia de Sant Josep","R07004551","SANT JOSEP DE SANT JOSEP","SANT JOSEP DE SA TALAIA","PLAÇA ESGLÉSIA, S/N","07830","EIVISSA","971800165"
"07014181","CEI","PATIM-PATAM","anacarmonaextremera@gmail.com","","","SAEPAMA SL","B57224081","PALMA","PALMA","C/ TANCA D'ABAIX, NÚM.13","07013","MALLORCA","971798345"
"07014016","CEI","PEKES","pekes.mallorca@gmail.com","","","Grupo Pekes Mallorca SL","B57509267","PALMA","PALMA","C/ D'ALFONS EL MAGNÀNIM,94","07004","MALLORCA","971755767"
"07014661","CEI","PEQUEÑO DA VINCI_abans Maria Serra","info@escoletamariaserra.com","","","Escoleta Maria Serra SL","B57608952","PALMA","PALMA","C/ MARIA AGNESI, PARCEL·LA 53-55 (PARC BIT)","07121","MALLORCA","629618716"
"07014971","CEI","PETER PAN","peterpanmarratxi@hotmail.com","","","Guarderia Peter Pan CB","E57299877","MARRATXÍ","MARRATXÍ","C/ GLADIOL, NÚM.23","07141","MALLORCA","971601901"
"07015008","CEI","PETIT ANGELET","petitangelet@hotmail.com","","","Isabel Rafael Batle","43053679W","PALMA","PALMA","CARRER SON OLIVA, 7","07004","MALLORCA","971290391"
"07014651","CEI","PETIT MÓN","escoletapetitmon@gmail.com","","","Centre d'Estudis infantils Es Port SLL","B57065070","PORTO CRISTO","MANACOR","RONDA DE L'OEST, NÚM. 88","07500","MALLORCA","971822841"
"07016104","CEI","PETITÓ_C Francesc de Borja Moll","ceipetito@colegioborjamoll.net","coordinacion@colegiograncescdeborjamoll.net","","ABC D'EDUCACIO SL","B57222838","S'ARENAL","PALMA","AV. AMÈRICA, 21","07600","MALLORCA","971491876"
"07014673","CEI","PETITS","escoletepetits@hotmail.com","","","Guarderia Petits, SL","B57354862","SANT ANTONI DE PORTMANY","SANT ANTONI DE PORTMANY","C/ RAMÓN Y CAJAL, NÚM. 54 B","07820","EIVISSA","971344123"
"07014119","CEI","PETITS FERRERETS","petitsferrerets03@gmail.com","","www.escoletapetitsferrerets.com","Es Ferreret Besso, SL","B57688251","ES PONT D'INCA NOU","MARRATXÍ","C/ D' AUBARCA,NÚM.19 (LOCAL 10)","07141","MALLORCA","648775622"
"07013887","CEI","PICA-SOL","info@pica-sol.es","","","ESCOLETA CLAUBER SL","B57393613","LLUCMAJOR","LLUCMAJOR","PASSEIG DE JAUME III, NÚM. 24 BXS","07620","MALLORCA","971661445"
"07013449","CEI","POPORIOL","poporiol@hotmail.com","","","CEI POPORIOL CB","E57389454","PETRA","PETRA","C/ BARRACAR ALT, 51","07520","MALLORCA","971561910"
"07013723","CEI","RIN TIN TIN","escoletarintintinpalma@gmail.com","","","NOEMÍ AGUILÓ FONS","43129549H","PALMA","PALMA","C/ ARXIDUC LLUÍS SALVADOR, 54 BAIXOS","07004","MALLORCA","971750289"
"07014697","CEI","ROPIT","escoletaropit@gmail.com","","","Escola d'Infants Ropit, SL","B07610256","PALMA","PALMA","C/ DE RAMON MUNTANER, NÚM. 10 i 12","07003","MALLORCA","971204666"
"07016591","CEI","SA CABANYA","info@sacabanya.com","llullupol@hotmail.com","","MARIA LLUISA POL PONS","43158576L","BINISSALEM","BINISSALEM","C/ LLORENÇ VILLALONGA, 39","07350","MALLORCA","670511850"
"07014752","CEI","SA CAPÇANETA","sacapsanetasantjordi@gmail.com","xiscaestrany59@gmail.com","","Francisca Estrany Vallespir","42991591Z","SANT JORDI","PALMA","C/ CA'S QUITXERO, NÚM. 25","07199","MALLORCA","629327174"
"07014961","CEI","SA MILOCA","escoletasamiloca@gmail.com","","","CASA DEL BEATO BENITO JOSE LABRE-HNAS FRANCISCANAS","R0700598F","PALMA","PALMA","C/ MANACOR 59, BAIXOS","07005","MALLORCA","675824424"
"07014624","CEI","SANT AGUSTÍ","ceisanagustin@gmail.com","","","Encarnación Hita de Dios","25933590D","PALMA","PALMA","C/ DE VICTORIO DE LUZURIAGA, NÚM. 14","07015","MALLORCA","971403499"
"07015380","CEI","SANT FRANCESC D'ASSÍS_S'HORTA","escoletashorta@sfassis.org","escoletashorta@sfassis.org","","HERMANAS FRANCISCANAS HIJAS DE LA MISERICORDIA","R0700022G","S'HORTA","FELANITX","C/ DEL CONVENT, NÚM. 13","07669","MALLORCA","971837136"
"07008764","CEI","S'AUCELLET","cei@saucellet.com","","www.saucellet.com","Catalina Puig Serra","43012198J","S'ARENAL","LLUCMAJOR","C/ SANT CRISTÒFOL, 55","07600","MALLORCA","971440064"
"07014341","CEI","S'ESTEL","escoletaestel@gmail.com","","","S'Estel de la Missió, SL","B57687261","PALMA","PALMA","C/ DE LA MISSIÓ, 29 BAIXOS","07003","MALLORCA","971722872"
"07013462","CEI","SIERVAS DE JESÚS SAGRADO CORAZÓN_Madre Alberta","ceiscorazon@gmail.com","","","Siervas de Jesús de la Caridad","R0700094F","PALMA","PALMA","C/ SANT ALONSO, 26","07001","MALLORCA","871033741"
"07014171","CEI","SIETE ENANITOS","susanagarau@hotmail.com","ceisieteenanitos@gmail.com","","Susana Garau Raja","43130316A","PALMA","PALMA","C/ BISBE CABANELLES, NÚM. 3A","07005","MALLORCA","971245228"
"07015495","CEI","SOL SOLET","info@escoletasolsolet.com","","","ABIÈTAR Y LÒPEZ, C.B.","E57887630","PALMA","PALMA","C/GENERAL RIERA,88 BAIXOS","07010","MALLORCA","971202786"
"07015801","CEI","SOMNIS","somniscentreinfantil@gmail.com","","","GUASCH ORTEGA SL","B56196827","EIVISSA","EIVISSA","C/ CANARIES, NÚM. 40","07800","EIVISSA","971508973"
"07016463","CEI","SON ESPASES","eisonespases@eulen.com","info@chsonespases.com","","CONCESIONARIA HOSPITAL UNIVERSITARIO DE SOS ESPASES S.A.","A57464570","PALMA","PALMA","CTRA VALLDEMOSSA, NÚM. 79","07120","MALLORCA","696677174"
"07013954","CEI","SON LLÀTZER","escoletasonllatzer@gmail.com","","","FUNDACIO HOSPITAL SON LLATZER","Q0700614A","PALMA","PALMA","CTRA. MANACOR KM. 4","07198","MALLORCA","971426629"
"07013486","CEI","TERINGA","direccio@escoletateringa.com","","","TERINGA LL & MI SL","B57978421","PALMA","PALMA","C/ PAU PIFERRER, 7","07011","MALLORCA","971286383"
"07016451","CEI","VILANENS","vilanens@hotmail.com","","","VILANENS S.L.","B09771312","EIVISSA","EIVISSA","C/ MÚSIC VICENT MAYANS MARI, NÚM. 2","07800","EIVISSA","657405293"
"07014791","CEI","VOLIAINA","cei.voliaina@gmail.com","","","TRESDOS ESPJ","E06766323","POLLENÇA","POLLENÇA","C/ PHILIP NEWMAN, NÚM. 5","07460","MALLORCA","971531273"
"07015628","CEI","WABI SABI","escoletawabisabi@gmail.com","","","PROYECTOS EDUCATIVOS WABISABI S.L.","B16585366","Son Ferriol","PALMA","C/ BARTOMEU OLIVER DE CAN TUNIS, NÚM 39","07198","MALLORCA","971420151"
"07016608","CEI","XIN XIRINEU_SANTA MARGALIDA","xinxirineu@gmail.com","","","XIN XIRINEU, SOCIETAT MICROCOOPERATIVA","F01957984","SANTA MARGALIDA","SANTA MARGALIDA","C/ JOVADES, 8","07450","MALLORCA","871850091"
"07015926","CEI","XIN-XIRINEU CAN PICAFORT","xinxirineu@gmail.com","","","XIN XIRINEU, SOCIETAT MICROCOOPERATIVA","F01957984","CAN PICAFORT","SANTA MARGALIDA","CARRETERA SANTA MARGALIDA,NÚM. 5","07458","MALLORCA","601395228"
"07008570","CEI","XIPELL","ceixipell@gmail.com","","","FUNDACION PIA AUTONOMA XIPELL","R0700759D","CIUTADELLA","CIUTADELLA","C/ SOR ÀGUEDA, S/N","07760","MENORCA","971381808"
"07002774","CEIP","AINA MOLL I MARQUÉS","ceipainamoll@educaib.eu","","ceipainamoll.wordpress.com","CONSELLERIA D'EDUCACIÓ","S0718038C","PALMA","PALMA","PLAÇA BISBE BERENGUER DE PALOU, 6","07003","MALLORCA","971710019"
"07002907","CEIP","ALEXANDRE ROSSELLÓ","ceipalexandrerossello@educaib.eu","","","CONSELLERIA D'EDUCACIÓ","S0718134J","PALMA","PALMA","C/ MIQUEL SANTANDREU, 48","07006","MALLORCA","971771694"
"07005751","CEIP","ÀNGEL RUIZ I PABLO","ceipangelruizipablo@educaib.eu","","https://sites.google.com/site/ceipangelruisipablo","CONSELLERIA D'EDUCACIÓ","S0718106H","ES CASTELL","ES CASTELL","CARRER DE S'ESCOLA, núm 3","07720","MENORCA","971363454"
"07004321","CEIP","ANSELM TURMEDA","ceipanselmturmeda@educaib.eu","ceipanselmturmeda@gmail.com","","CONSELLERIA D'EDUCACIÓ","S0718122E","SA VILETA","PALMA","C/ CAP BLANC, 15","07011","MALLORCA","971791388"
"07001812","CEIP","ANTONI JUAN ALEMANY","ceipantonijuanalemany@educaib.eu","","antonijuanalemany.blogspot.com.es","CONSELLERIA D'EDUCACIÓ","S0718042E","MAÓ","MAÓ","C/ SANTA EULÀLIA, 89","07702","MENORCA","971364842"
"07001599","CEIP","ANTÒNIA ALZINA","ceipantoniaalzina@educaib.eu","","","CONSELLERIA D'EDUCACIÓ","S0718150F","LLORET DE VISTA ALEGRE","LLORET DE VISTALEGRE","PASSATGE DE BAIX DE SA RIBA, S/N","07518","MALLORCA","971524291"
"07008041","CEIP","BADIES","ceipbadies@educaib.eu","","http://blocdecentre.blogspot.com","CONSELLERIA D'EDUCACIÓ","S0718108D","BADIA GRAN","LLUCMAJOR","C/ FRAGATA, 6","07609","MALLORCA","971741365"
"07004931","CEIP","BALANSAT","ceipbalansat@educaib.eu","","http://www.eivissaweb.net/cpbalansat","CONSELLERIA D'EDUCACIÓ","S0718135G","SANT MIQUEL DE BALANSAT","SANT JOAN DE LABRITJA","CTRA. D'EIVISSA, S/N","07815","EIVISSA","971334870"
"07000881","CEIP","BARTOMEU ORDINES","ceipbartomeuordines@educaib.eu","","http://sites.google.com/site/ceipbartomeuordines/","CONSELLERIA D'EDUCACIÓ","S0718080E","CONSELL","CONSELL","AV. FRANCISCA HOMAR I PASQUAL, 20","07330","MALLORCA","971622051"
"07006263","CEIP","BENDINAT","ceipbendinat@educaib.eu",""," http://www.cpmigjorn.net","CONSELLERIA D'EDUCACIÓ","S0718112F","BENDINAT","CALVIÀ","AV. ARQUITECTE FRANCESC CASAS, 14","07181","MALLORCA","971700127"
"07005398","CEIP","BLAI BONET","ceipblaibonet@educaib.eu","","","CONSELLERIA D'EDUCACIÓ","S0768127C","SANTANYÍ","SANTANYÍ","C/ DE GÓMEZ ULLA, S/N","07650","MALLORCA","971653955"
"07002439","CEIP","BLANQUERNA","ceipblanquerna@educaib.eu","","http://www.cpblanquerna.cat","CONSELLERIA D'EDUCACIÓ","S0718139I","ES PONT D'INCA","MARRATXÍ","C/ CAÜLLS, 21","07141","MALLORCA","971795170"
"07012858","CEIP","BOCCHORIS","ceipbocchoris@educaib.eu","","http://www.cpportdepollensa.com","CONSELLERIA D'EDUCACIÓ","S0700038C","PORT DE POLLENÇA","POLLENÇA","C/ MESTRE ALBERTÍ, 1","07470","MALLORCA","971866129"
"07004667","CEIP","BUSCASTELL","ceipbuscastell@educaib.eu","","","CONSELLERIA D'EDUCACIÓ","S0718115I","SANT ANTONI DE PORTMANY","SANT ANTONI DE PORTMANY","CTRA. SANTA AGNÈS, KM. 5,7","07820","EIVISSA","971345836"
"07012883","CEIP","CALONGE","ceipcalonge@educaib.eu","","http://cp-calonge.blogspot.com.es/","CONSELLERIA D'EDUCACIÓ","G57159857","CALONGE","SANTANYÍ","PLAÇA DE SANT MIQUEL, S/N","07669","MALLORCA","971839119"
"07005994","CEIP","CAMILO JOSE CELA","ceipcamilojosecela@educaib.eu","","http://www.ceipcamilojosecela.com","CONSELLERIA D'EDUCACIÓ","S0718170D","PALMA","PALMA","C/ PERÚ, 2","07007","MALLORCA","971240625"
"07004758","CEIP","CAN BRIL","ceipcanbril@educaib.eu","ceipcanbril@gmail.com","http://www.ceipcanbril.net","CONSELLERIA D'EDUCACIÓ","Q0768277F","SENCELLES","SENCELLES","C/MOSSÈN BARTOMEU OLIVER I AMENGUAL, 1","07140","MALLORCA","971872653"
"07007814","CEIP","CAN CANTÓ","ceipcancanto@educaib.eu","","http://cancanto.org/","CONSELLERIA D'EDUCACIÓ","Q0768232A","EIVISSA","EIVISSA","C/ DES JONDAL, S/N","07800","EIVISSA","971307278"
"07004680","CEIP","CAN COIX","ceipcancoix@educaib.eu","","http://ceipcancoix.blogspot.com","CONSELLERIA D'EDUCACIÓ","S0718153J","SANT ANTONI DE PORTMANY","SANT ANTONI DE PORTMANY","CTRA. SANTA AGNÈS, KM 1,5","07820","EIVISSA","971344768"
"07007541","CEIP","CAN GUERXO","ceipcanguerxo@educaib.eu","","","CONSELLERIA D'EDUCACIÓ","S0718158I","SANT JORDI DE SES SALINES","SANT JOSEP DE SA TALAIA","C/ D'EN PUJOL, 2","07817","EIVISSA","971395017"
"07001393","CEIP","CAN MISSES","ceipcanmisses@educaib.eu","","http://www.cpcanmisses.com","CONSELLERIA D'EDUCACIÓ","S0718124A","EIVISSA","EIVISSA","AV. DE CORONA, S/N","07800","EIVISSA","971314376"
"07002610","CEIP","CAN PASTILLA","ceipcanpastilla@educaib.eu","","http://www.cpcanpastilla.com","CONSELLERIA D'EDUCACIÓ","S0718013F","CAN PASTILLA","PALMA","C/ SERTORI, 2","07610","MALLORCA","971265554"
"07013361","CEIP","CAN RASPALLS","ceipcanraspalls@educaib.eu, ceipcanraspalls@gmail.com","","http://cpcanraspalls.blogspot.com","CONSELLERIA D'EDUCACIÓ","Q0700524B","SANT JORDI DE SES SALINES","SANT JOSEP DE SA TALAIA","C/ CAN RAPALLS, S/N","07817","EIVISSA","971303262"
"07013127","CEIP","CAS CAPISCOL","ceipcascapiscol@educaib.eu","","http://www.cpcascapiscol.org","CONSELLERIA D'EDUCACIÓ","Q0700498I","PALMA","PALMA","C/ DE LEOCADIA DE TOGORES, 8","07010","MALLORCA","971762129"
"07007255","CEIP","CAS SABONERS","ceipcassaboners@educaib.eu","","http://www.arrakis.es/~saboner","CONSELLERIA D'EDUCACIÓ","S0718130H","MAGALUF","CALVIÀ","C/ COLOMS, 15","07182","MALLORCA","971681692"
"07001435","CEIP","CAS SERRES","ceipcasserres@educaib.eu","","http://casserresescola.blogspot.com","CONSELLERIA D'EDUCACIÓ","S0718141E","EIVISSA","EIVISSA","C/ MÚSIC FERMÍ MARÍ, 53  (Apartat de correus 723)","07800","EIVISSA","971303811"
"07001149","CEIP","CASTELL DE SANTA ÀGUEDA","ceipcastelldesantaagueda@educaib.eu","","http://c07001149.eduwebs.caib.es/","CONSELLERIA D'EDUCACIÓ","Q0768270A","FERRERIES","FERRERIES","AV. DE SON MORERA, 29","07750","MENORCA","971373264"
"07006962","CEIP","CERVANTES","ceipcervantes@educaib.eu","","http://www.cpcervantes.net","CONSELLERIA D'EDUCACIÓ","S0718073J","SANT ANTONI DE PORTMANY","SANT ANTONI DE PORTMANY","C/MARINO RIQUER, S/N","07820","EIVISSA","971341423"
"07004503","CEIP","CLIMENT SERRA I SERVERA","ceipclimentserraiservera@educaib.eu","","","CONSELLERIA D'EDUCACIÓ","S0768162J","PORRERES","PORRERES","C/ LLUÍS VIVES, 1","07260","MALLORCA","971647604"
"07002658","CEIP","COLL D'EN RABASSA, GUILLEM LLADÓ COLL","ceipcolldenrabassa@educaib.eu","","http://www.ceipcolldenrabassa.webnode.es","CONSELLERIA D'EDUCACIÓ","S0718015A","ES COLL D'EN RABASSA","PALMA","C/ BAILEN, 38","07007","MALLORCA","971267369"
"07007085","CEIP","COLÒNIA DE SANT JORDI","ceipcoloniadesantjordi@educaib.eu","","http://www.cpcoloniasj.es","CONSELLERIA D'EDUCACIÓ","S0768151C","COLÒNIA DE SANT JORDI","SES SALINES","C/ S'ESCOLA, S/N","07638","MALLORCA","971655477"
"07002831","CEIP","DE PRÀCTIQUES","ceipdepractiques@educaib.eu","","http://www.cppractiques.cat","CONSELLERIA D'EDUCACIÓ","S0718046F","PALMA","PALMA","CTRA. DE VALLDEMOSSA, 15","07010","MALLORCA","971756704"
"07001642","CEIP","DURAN ESTRANY","ceipduranestrany@educaib.eu","","http://www.cpduranestrany.es","CONSELLERIA D'EDUCACIÓ","S0718005B","LLUBÍ","LLUBÍ","C/ DOCTOR FLEMING, 35","07430","MALLORCA","971522507"
"07001174","CEIP","EL PILAR","ceipelpilar@educaib.eu","","","CONSELLERIA D'EDUCACIÓ","Q0768266I","EL PILAR DE LA MOLA","FORMENTERA","C/ NOSTRA SENYORA DEL PILAR, S/N","07872","FORMENTERA","971327053"
"07003791","CEIP","EL TERRENO","ceipelterreno@educaib.eu","","","CONSELLERIA D'EDUCACIÓ","S0718159G","EL TERRENO","PALMA","C/ ROBERT GRAVES , 45","07015","MALLORCA","971455075"
"07005261","CEIP","ELEONOR BOSCH","ceipeleonorbosch@educaib.eu","","","CONSELLERIA D'EDUCACIÓ","S0718044A","SANTA MARGALIDA","SANTA MARGALIDA","C/ GUILLEM CRESPÍ I COLL, 1","07450","MALLORCA","971523431"
"07000418","CEIP","ELS MOLINS_BÚGER","ceipelsmolins.buger@educaib.eu","","http://www.mallorcaweb.net/cpelsmolins","CONSELLERIA D'EDUCACIÓ","S0718166B","BÚGER","BÚGER","C/ ESCOLA, 57","07311","MALLORCA","971516978"
"07007231","CEIP","ELS MOLINS_S'ARRACO","ceipelsmolins.sarraco@educaib.eu","","www.ceipmolins.com","CONSELLERIA D'EDUCACIÓ","S0718136E","S'ARRACÓ","ANDRATX","CAMÍ DES CASTELLÀS, 18","07159","MALLORCA","971674152"
"07002592","CEIP","ELS TAMARELLS","ceipelstamarells@educaib.eu","","http://www.cpelstamarells.es","CONSELLERIA D'EDUCACIÓ","S0718191J","S'ARENAL","PALMA","CAMÍ DE CA NA GABRIELA, 36","07600","MALLORCA","971268511"
"07005787","CEIP","ES CREMAT","ceipescremat@educaib.eu","","http://www.mallorcaweb.net/cpescremat","CONSELLERIA D'EDUCACIÓ","S0768204J","VILAFRANCA DE BONANY","VILAFRANCA DE BONANY","C/ DE JOAN MIRÓ, 4","07250","MALLORCA","971560167"
"07005593","CEIP","ES FOSSARET","ceipesfossaret@educaib.eu","","","CONSELLERIA D'EDUCACIÓ","Q0768069G","SÓLLER","SÓLLER","C/ DE CA LES ÀNIMES, NÚM. 17","07100","MALLORCA","971633315"
"07003225","CEIP","ES MOLINAR_ INFANT FELIP","ceipesmolinarinfantfelip@educaib.eu","","http://www.cpinfantedonfelipe.cat","CONSELLERIA D'EDUCACIÓ","S0718031H","PALMA","PALMA","C/ DE LLUCMAJOR, 81","07006","MALLORCA","971276006"
"07005933","CEIP","ES PIL·LARÍ","ceipespillari@educaib.eu","","http://c07005933.eduwebs.caib.es","CONSELLERIA D'EDUCACIÓ","S0718095C","ES PIL·LARÍ","PALMA","CAMÍ DE SON FANGOS, 241","07600","MALLORCA","971490252"
"07006691","CEIP","ES PONT","ceipespont@educaib.eu","","http://ceipespont.blogspot.com.es/","CONSELLERIA D'EDUCACIÓ","S0718172J","PALMA","PALMA","C/ D'INDALECIO PRIETO, S/N","07008","MALLORCA","971240781"
"07001629","CEIP","ES PUIG","ceipespuig.lloseta@educaib.eu","","","CONSELLERIA D'EDUCACIÓ","S0718008F","LLOSETA","LLOSETA","CAMÍ D'ES PUIG, S/N","07360","MALLORCA","971519436"
"07005660","CEIP","ES PUIG_SOLLER","ceipespuig.soller@educaib.eu","","http://www.ceipespuigsoller.com/","CONSELLERIA D'EDUCACIÓ","S0718043C","SÓLLER","SÓLLER","VIAL 71, NÚM. 32","07100","MALLORCA","971630372"
"07005453","CEIP","ES PUTXET","ceipesputxet@educaib.eu","","","CONSELLERIA D'EDUCACIÓ","Q0768236B","SELVA","SELVA","CARRER DE SES ESCOLES, 14","07313","MALLORCA","971515043"
"07004138","CEIP","ES SECAR DE LA REAL","ceipessecardelareal@educaib.eu","","","CONSELLERIA D'EDUCACIÓ","S0718050H","ES SECAR DE LA REAL","PALMA","C/ CAN VICARI, 9","07010","MALLORCA","971769221"
"07006561","CEIP","ES TORRENTET","ceipestorrentet@educaib.eu","","","CONSELLERIA D'EDUCACIÓ","S0718100A","BINIAMAR","SELVA","C/ SELVA, 17","07369","MALLORCA","971514728"
"07004795","CEIP","ES VEDRÀ","ceipesvedra@educaib.eu","","","CONSELLERIA D'EDUCACIÓ","S0718157A","SANT AGUSTÍ DES VEDRÀ","SANT JOSEP DE SA TALAIA","CAMÍ POU D'EN MUSSON, POLÍGON 17, NÚM. 11023","07839","EIVISSA","971341629"
"07000194","CEIP","ES VINYET","ceipesvinyet@educaib.eu","","http://www.mallorcaweb.net/ceipesvinyet","CONSELLERIA D'EDUCACIÓ","S0718056E","ANDRATX","ANDRATX","C/ GALÍCIA, 66","07150","MALLORCA","971137707"
"07002932","CEIP","ES VIVERO","ceipesvivero@educaib.eu","","http://cpesvivero.cat","CONSELLERIA D'EDUCACIÓ","Q0768033C","PALMA","PALMA","C/ CRÈDIT BALEAR, 15","07008","MALLORCA","971471457"
"07003304","CEIP","ESCOLA GRADUADA","ceipescolagraduada@educaib.eu","","http://cpgabrielalzamora.googlepages.com","CONSELLERIA D'EDUCACIÓ","S0718041G","PALMA","PALMA","C/ ESCOLA GRADUADA, 6","07002","MALLORCA","971725806"
"07002749","CEIP","ESTABLIMENTS","ceipestabliments@educaib.eu","","http://www.ceipestabliments.es","CONSELLERIA D'EDUCACIÓ","S0718119A","ESTABLIMENTS","PALMA","CAMÍ DE SARRIÀ, S/N","07010","MALLORCA","971768285"
"07004011","CEIP","FELIP BAUÇA","ceipfelipbauca@educaib.eu","","http://www.mallorcaweb.net/cpfelipbauca","CONSELLERIA D'EDUCACIÓ","S0718102G","PALMA","PALMA","C/ GERMANS GARCÍA PEÑARANDA, 11","07010","MALLORCA","971295885"
"07008788","CEIP","FORNALUTX","ceipfornalutx@educaib.eu","","http://webceipfornalutx","CONSELLERIA D'EDUCACIÓ","Q0700411B","FORNALUTX","FORNALUTX","C/ SA RUTLANA, NÚM. 14","07109","MALLORCA","971633723"
"07005970","CEIP","FORNELLS","ceipfornells@educaib.eu","","","CONSELLERIA D'EDUCACIÓ","S0718137C","FORNELLS","ES MERCADAL","VIA DE RONDA, S/N","07748","MENORCA","971376359"
